,region,numberpets,householdsize,homeowner,jobcategory,carbrand,log_car_val,log_hh_income,log_tot_debt,log_tot_value
1,northeast,0,3,0,Professional,Domestic,9.568014816,10.34174248,12.74868759,5.078293943
2,southeast,0,2,1,Sales,Foreign,8.824677891,9.61580548,12.53896706,8.291333455
3,west,3,3,1,Sales,Foreign,9.841612149,10.46310334,12.7556381,7.527444276
4,southwest,0,5,1,Sales,Foreign,9.071078305,9.903487553,11.64395373,5.295563578
5,midwest,0,4,0,Sales,Foreign,9.26860928,10.04324949,10.57387775,6.183942684
7,midwest,2,1,0,Professional,Domestic,10.15034763,11.2515607,11.89341459,3.802208139
8,west,2,2,1,Professional,Domestic,10.9241383,11.48246626,14.14969446,6.41787542
9,midwest,1,1,1,Professional,Foreign,9.059517482,9.680344001,10.63585545,6.979471107
10,midwest,1,2,1,Labor,Domestic,10.62132735,11.33857208,12.74955905,2.998229154
11,southwest,3,1,0,Professional,Domestic,10.23995979,10.75790288,12.90966508,7.608324845
13,southeast,1,1,1,Professional,Foreign,10.55841352,11.19821472,12.22783414,3.39785848
15,midwest,0,2,1,Agriculture,Foreign,9.137769679,9.740968623,12.02335101,8.170412
16,west,3,2,0,Labor,Domestic,9.358760377,10.04324949,12.2732639,8.701870305
17,northeast,1,3,1,Agriculture,Foreign,11.23585357,12.04941884,14.30071063,8.305372791
20,northeast,0,1,0,Professional,Foreign,9.287301413,9.998797732,12.72009316,6.05760335
21,west,0,2,0,Professional,Domestic,9.148464968,10.46310334,12.77563876,6.340447483
22,midwest,1,2,0,Sales,Domestic,9.661415991,10.23995979,12.46997419,6.691835573
23,southwest,0,1,1,Labor,Domestic,8.665613197,9.392661929,12.46071486,7.726543429
25,northeast,0,4,1,Professional,Domestic,10.8036489,11.77528973,14.20009246,2.411439498
26,southwest,0,2,0,Service,Foreign,10.03451581,11.14186178,13.83648896,8.947071198
27,southeast,1,6,0,Sales,Domestic,9.190137665,10.08580911,12.54539795,6.777589644
29,west,2,1,1,Professional,Domestic,8.03915739,9.305650552,11.62803827,8.778895699
30,southeast,0,1,1,Professional,Domestic,9.480367509,10.30895266,13.04979268,5.454679884
31,west,2,1,1,Service,Domestic,10.46310334,11.28978191,13.16158409,6.262254752
32,midwest,2,2,0,Professional,Domestic,10.13459927,10.83958091,12.89370465,9.256326609
34,northeast,1,6,0,Professional,Domestic,9.011889433,9.740968623,11.84510278,4.75617306
36,southwest,3,2,0,Sales,Domestic,9.961756461,10.71441777,12.83067328,7.221324372
37,west,2,2,1,Crafts,Foreign,11.26574534,11.8277362,14.44513204,8.842395012
38,southeast,1,1,0,Sales,Domestic,8.496990484,9.210340372,10.08580911,6.785305119
39,midwest,2,5,1,Professional,Foreign,10.43117029,11.19821472,13.4174182,8.257774584
40,northeast,0,1,0,Professional,Domestic,10.4968144,11.05089001,12.84264947,7.125564629
41,northeast,0,3,1,Service,Domestic,10.36722157,10.81977828,12.44901882,6.143112097
43,southeast,0,2,0,Service,Domestic,9.667765219,10.23995979,12.52234217,4.892977251
44,northeast,0,2,1,Sales,Domestic,9.137769679,10.04324949,12.97177302,6.323821183
45,southeast,0,2,0,Sales,Foreign,10.73856823,11.22524339,12.01370075,6.488520807
46,southeast,0,2,1,Sales,Domestic,9.532423871,10.23995979,11.43388226,4.317488114
47,west,0,2,1,Sales,Foreign,9.752664663,10.40426284,12.93795965,5.30603749
48,southeast,1,5,1,Labor,Foreign,10.33851146,10.69194491,13.30201471,6.924464893
49,southeast,1,1,0,Service,Domestic,9.680344001,10.34174248,12.56094597,3.861781789
50,midwest,2,1,1,Service,Domestic,11.43388226,12.55672952,14.79743921,8.125083501
51,west,2,1,1,Labor,Domestic,10.26813067,10.79957558,11.54151292,2.411439498
52,midwest,0,1,0,Labor,Foreign,9.126958763,9.61580548,11.64395373,6.566602104
53,midwest,0,4,1,Professional,Foreign,9.341368634,9.740968623,10.57387775,6.320318553
54,west,1,2,1,Professional,Foreign,10.49127422,11.32659589,13.75139861,8.2474951
55,west,0,1,1,Sales,Foreign,10.88181368,11.31447453,14.84670017,6.13046533
57,southeast,0,2,0,Professional,Domestic,11.12431747,11.83500896,13.78091911,9.053815209
58,midwest,0,2,0,Sales,Foreign,9.729134165,10.46310334,12.20356952,8.123024043
59,southwest,0,2,0,Agriculture,Domestic,9.539644119,10.46310334,12.96453929,7.01571242
61,midwest,0,1,0,Professional,Domestic,9.503009986,10.1266311,12.16785143,5.776103136
62,southwest,1,3,1,Professional,Foreign,9.729134165,10.40426284,11.76523939,5.674182005
63,west,0,2,0,Sales,Domestic,9.60238246,10.37349118,13.5133238,7.285369459
64,midwest,0,4,0,Professional,Domestic,8.853665428,9.680344001,10.77895629,7.116191201
65,southwest,2,1,0,Professional,Domestic,10.21464198,11.06663836,12.42761492,2.737609003
66,midwest,0,1,0,Service,Foreign,9.510444964,10.34174248,13.03636966,6.445005278
67,southeast,0,4,0,Sales,Domestic,9.230142999,9.798127037,12.47227569,4.457829598
68,northeast,0,1,0,Sales,Domestic,9.705036614,10.62132735,11.75272946,4.330075229
69,west,0,2,1,Service,Domestic,9.350102314,9.998797732,10.99204951,3.271468275
70,west,1,2,1,Crafts,Foreign,8.536995819,9.546812609,12.25486281,7.943445517
71,southwest,0,2,1,Sales,Foreign,10.97507117,11.31447453,13.24599594,4.403054002
72,midwest,0,1,1,Sales,Domestic,10.89488576,11.41861479,10.21464198,9.303580228
73,west,0,2,1,Labor,Foreign,10.50506754,11.21182037,12.75938288,6.257475999
74,southwest,2,2,1,Sales,Domestic,9.76995616,10.73639668,11.47833402,5.870567292
75,midwest,0,2,1,Professional,Domestic,8.987196821,9.546812609,11.65094676,7.83881639
76,southeast,0,1,1,Service,Foreign,10.60905725,11.12726298,14.21830544,5.365508616
77,west,2,2,0,Labor,Domestic,10.58910647,11.5228758,13.49695682,6.789084349
78,west,5,2,1,Professional,Domestic,11.12284146,11.70354582,13.91182024,6.29156914
79,southwest,0,1,0,Service,Domestic,9.190137665,9.852194258,12.58004709,5.010635294
80,southeast,0,4,1,Crafts,Foreign,9.200290036,10.30895266,12.91164235,5.49388415
81,west,0,3,0,Professional,Foreign,10.25765937,10.66895539,11.41089274,4.268997904
82,northeast,0,1,0,Professional,Domestic,9.305650552,9.798127037,10.13459927,6.562797139
83,southwest,2,4,0,Sales,Domestic,9.786953736,10.6454249,13.44270623,8.446674156
85,southeast,0,2,1,Professional,Domestic,9.45720045,10.30895266,12.24047407,6.229003979
86,southwest,0,2,1,Professional,Foreign,10.69421506,11.47210347,14.21937438,7.527390464
87,west,0,1,1,Crafts,Domestic,11.45952469,11.87059991,14.2593627,8.509624622
88,southeast,0,1,0,Sales,Domestic,9.595602773,10.1266311,12.04355372,6.053617412
89,west,0,1,0,Sales,Foreign,10.43998092,11.12726298,12.99906516,9.081569061
91,northeast,0,1,1,Sales,Foreign,9.809176873,10.54534144,12.41714362,4.737513373
92,west,0,3,0,Sales,Domestic,9.798127037,10.93310697,14.25453938,6.316713321
93,southeast,1,1,1,Professional,Domestic,10.51053203,11.08214255,13.72831735,5.673666851
94,west,0,1,0,Crafts,Domestic,9.169518377,9.740968623,12.77592161,5.936744335
95,west,0,2,1,Professional,Domestic,10.37036129,11.03488966,13.89709054,9.039083377
96,northeast,0,1,0,Sales,Foreign,8.648221454,9.305650552,11.38509209,6.125558282
97,northeast,0,2,1,Professional,Foreign,10.59162219,11.58988651,13.81990091,7.346074724
98,midwest,0,1,1,Sales,Domestic,8.935903526,9.852194258,11.88034251,3.319625728
99,west,0,1,1,Sales,Domestic,9.629050707,10.16585182,12.57279693,8.86261809
101,southwest,0,2,0,Service,Foreign,10.82972862,11.31447453,13.26038468,6.137511048
102,midwest,0,2,1,Crafts,Domestic,10.47728798,11.00209984,13.52782849,7.713985579
103,southeast,1,1,1,Labor,Domestic,10.9525594,11.51292546,13.28787782,7.164604363
105,midwest,1,1,0,Service,Domestic,9.629050707,10.4341158,13.28482231,5.487904134
106,northeast,0,1,0,Sales,Foreign,9.60238246,10.04324949,12.37539339,4.06731589
107,northeast,2,1,0,Professional,Domestic,10.90043619,11.58058411,14.22675891,6.633844611
108,southeast,0,2,1,Professional,Foreign,10.35774282,11.09741002,13.02893143,7.242189726
109,southeast,0,3,0,Professional,Domestic,10.69421506,11.58058411,12.86151796,6.545062263
110,west,0,1,1,Sales,Foreign,10.88181368,11.14186178,12.39462475,7.350484058
112,southwest,1,2,1,Labor,Domestic,9.480367509,10.23995979,12.33182385,8.389893768
113,southeast,1,2,1,Sales,Foreign,9.803667217,10.34174248,10.23638197,6.873060309
114,midwest,0,2,0,Sales,Foreign,9.814656339,10.37349118,12.68602661,4.743626929
115,northeast,0,1,1,Agriculture,Foreign,10.727663,11.31447453,12.88309044,6.825460036
116,southwest,1,2,1,Crafts,Domestic,10.3449631,10.89673933,13.15850242,3.230804396
117,northeast,1,2,0,Crafts,Domestic,9.786953736,10.6454249,11.74403719,8.360808351
118,southwest,0,1,0,Labor,Foreign,10.38899537,10.96819829,12.98310131,6.353587126
119,northeast,4,1,0,Professional,Domestic,10.33526997,11.19821472,12.72427102,8.13391023
120,southwest,2,1,0,Professional,Domestic,9.820105944,10.49127422,13.13744901,5.026836673
121,northeast,0,1,1,Sales,Foreign,10.41030515,10.83958091,12.74168844,8.968790967
122,southwest,0,2,1,Agriculture,Foreign,8.809862805,10.20359214,12.02814144,7.606486838
125,southeast,3,2,1,Service,Foreign,9.764225485,10.62132735,13.26038468,6.365524984
126,southeast,1,1,1,Professional,Domestic,10.25414442,10.98529272,12.20906815,7.174264786
127,west,0,1,1,Professional,Foreign,11.4752236,11.75978554,14.78021043,9.261836396
128,midwest,0,4,1,Service,Domestic,10.03451581,10.89673933,13.15850242,7.542796538
129,midwest,1,1,1,Professional,Foreign,9.798127037,10.69194491,13.05279891,5.042779747
131,midwest,0,2,0,Professional,Foreign,8.974618038,9.740968623,10.52942598,4.803201036
132,southwest,3,1,0,Crafts,Domestic,9.908475094,10.98529272,11.72723007,6.319328409
133,southwest,0,1,0,Service,Foreign,10.15034763,10.95080655,13.61106608,6.67544484
134,southwest,2,3,1,Sales,Foreign,9.358760377,10.27505111,12.24913213,4.457250056
135,west,0,1,0,Labor,Foreign,8.665613197,9.392661929,11.93426392,5.380818588
136,midwest,2,1,0,Crafts,Domestic,8.536995819,9.104979856,12.08559849,7.555277282
137,midwest,1,4,1,Crafts,Foreign,10.48290597,11.35040654,13.45454069,3.584906864
138,northeast,0,2,1,Sales,Domestic,9.480367509,10.1266311,12.04355372,3.928880122
139,southwest,3,3,1,Labor,Domestic,9.989665249,10.77895629,13.69672702,7.459194876
140,west,0,4,0,Sales,Domestic,9.392661929,10.27505111,12.24913213,4.286341385
141,southwest,3,5,1,Sales,Domestic,10.13062313,11.06663836,12.37497118,5.715875722
